Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
561,561,0,00000003,00000000,00010001,00000150
562,562,0,00000003,00000000,00010001,00000150
563,563,0,00000003,00000000,00010001,00000150
564,564,0,00000003,00000000,00010001,00000150
565,565,0,00000003,00000000,00010001,00000150
566,566,0,00000003,00000000,00010001,00000150
567,567,0,00000003,00000000,00010001,00000150
568,568,0,00000003,00000000,00010001,00000150
569,569,0,00000003,00000000,00010001,00000150
570,570,0,00000003,00000000,00010001,00000150
571,571,0,00000003,00000000,00010001,00000150
572,572,0,00000003,00000000,00010001,00000150
573,573,0,00000003,00000000,00010001,00000150
574,574,0,00000003,00000000,00010001,00000150
575,575,0,00000003,00000000,00010001,00000150
576,576,0,00000003,00000000,00010001,00000150
577,577,0,00000003,00000000,00010001,00000150
578,578,0,00000003,00000000,00010001,00000150
579,579,0,00000003,00000000,00010001,00000150
580,580,0,00000003,00000000,00010001,00000150
581,581,0,00000003,00000000,00010001,00000150
582,582,0,00000003,00000000,00010001,00000150
583,583,0,00000003,00000000,00010001,00000150
584,584,0,00000003,00000000,00010001,00000150
585,585,0,00000003,00000000,00010001,00000150
586,586,0,00000003,00000000,00010001,00000150
587,587,0,00000003,00000000,00010001,00000150
588,588,0,00000003,00000000,00010001,00000150
589,589,0,00000003,00000000,00010001,00000150
590,590,0,00000003,00000000,00010001,00000150
591,591,0,00000003,00000000,00010001,00000150
592,592,0,00000003,00000000,00010001,00000150
593,593,0,00000003,00000000,00010001,00000150
594,594,0,00000003,00000000,00010001,00000150
595,595,0,00000003,00000000,00010001,00000150
